"Num","Time","%","Players","GF","GA","+/-","SF","SA","SF%","CF","CA","CF%"
"226","0:03","0.0","ALEXANDER WENNBERG - BARCLAY GOODROW","0","0","0","0","0","0.0","0","1","0.0"
"227","0:03","0.0","BARCLAY GOODROW - NIKOLAI KOVALENKO - THOMAS BORDELEAU","0","0","0","0","0","0.0","0","0","0.0"
"228","0:03","0.0","DANIL GUSHCHIN - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"229","0:03","0.0","ALEXANDER WENNBERG - DANIL GUSHCHIN - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"230","0:03","0.0","TY DELLANDREA - NIKOLAI KOVALENKO - WILLIAM EKLUND","0","0","0","0","0","0.0","0","0","0.0"
"231","0:03","0.0","TYLER TOFFOLI - WILLIAM EKLUND - WILL SMITH - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"232","0:03","0.0","WILLIAM EKLUND - WILL SMITH - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"233","0:03","0.0","CARL GRUNDSTROM - NOAH GREGOR - WILLIAM EKLUND","0","0","0","1","0","100.0","1","0","100.0"
"234","0:03","0.0","NIKOLAI KOVALENKO - ZACK OSTAPCHUK - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"235","0:03","0.0","TYLER TOFFOLI - TY DELLANDREA - NIKOLAI KOVALENKO","0","0","0","0","0","0.0","0","0","0.0"
"236","0:03","0.0","BARCLAY GOODROW - TY DELLANDREA - MICHAEL MISA","0","0","0","0","0","0.0","0","0","0.0"
"237","0:03","0.0","ZACK OSTAPCHUK - WILL SMITH - COLLIN GRAF","0","0","0","0","0","0.0","0","0","0.0"
"238","0:03","0.0","BARCLAY GOODROW - NOAH GREGOR - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"239","0:03","0.0","BARCLAY GOODROW - CAM LUND - MACKLIN CELEBRINI","0","0","0","0","0","0.0","0","0","0.0"
"240","0:03","0.0","CARL GRUNDSTROM - NIKOLAI KOVALENKO - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"241","0:03","0.0","ALEXANDER WENNBERG - DANIL GUSHCHIN - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"242","0:03","0.0","DANIL GUSHCHIN - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"243","0:03","0.0","TYLER TOFFOLI - ALEXANDER WENNBERG - CAM LUND","0","0","0","0","0","0.0","0","0","0.0"
"244","0:02","0.0","TYLER TOFFOLI - PHILIPP KURASHEV - TY DELLANDREA","0","0","0","0","0","0.0","0","0","0.0"
"245","0:02","0.0","ALEXANDER WENNBERG - PHILIPP KURASHEV - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
"246","0:02","0.0","BARCLAY GOODROW - NOAH GREGOR - ZACK OSTAPCHUK - WILL SMITH","0","0","0","0","0","0.0","0","0","0.0"
